epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.17270000000000002,11.079064897991156,0.001,0.24,4.455782171753073
2,0.19213333333333338,2.720683288699385,0.001,0.28,3.384693907195421
3,0.21066666666666667,2.62896895395922,0.001,0.312,3.010072019122506
4,0.22713333333333327,2.573038133159736,0.001,0.31,2.792741504938376
5,0.2502666666666665,2.4862458998389787,0.001,0.344,2.76415947339992
6,0.2735333333333333,2.4267278919691786,0.001,0.344,2.6672307388727767
7,0.2777666666666667,2.405733053652083,0.001,0.372,2.293646487452177
8,0.29303333333333326,2.3594418063654383,0.001,0.314,2.592463662388141
9,0.2912666666666666,2.345593292274291,0.001,0.348,2.3292611094830793
10,0.3023000000000002,2.3145113821945293,0.001,0.332,2.257799867809879
11,0.3071,2.2881290686428746,0.001,0.382,2.304237982407718
12,0.3176333333333333,2.2662906067207325,0.001,0.36,2.296210813138073
13,0.32420000000000004,2.2249614875563877,0.001,0.368,2.252738720465053
14,0.32323333333333326,2.2242823367233857,0.001,0.334,2.226991378179624
15,0.32860000000000006,2.2153135214067303,0.001,0.334,2.4461433867373703
16,0.3289666666666667,2.20902261774676,0.001,0.382,2.3220570592884333
17,0.33399999999999996,2.1939678290940616,0.001,0.364,2.3027215552213387
18,0.3321000000000002,2.1877303616920845,0.001,0.35,2.1954035635600384
19,0.3398333333333332,2.166921047319445,0.001,0.37,2.636783298785537
20,0.3381333333333334,2.165481138768412,0.001,0.388,2.181471131927851
21,0.35343333333333343,2.1142887468311757,0.001,0.386,2.271605333594941
22,0.34946666666666665,2.1216719425458788,0.001,0.384,2.1399338859878347
23,0.36093333333333333,2.1077185484210426,0.001,0.388,2.3357931213253362
24,0.35913333333333314,2.095761853829869,0.001,0.366,2.443060938901387
25,0.3563999999999999,2.098328492829804,0.001,0.428,2.0126385585692215
26,0.3622333333333333,2.0805709885612877,0.001,0.402,2.3124309848309395
27,0.3657666666666667,2.0756674426563744,0.001,0.408,2.1565560039299294
28,0.37240000000000006,2.040202514438958,0.001,0.374,2.39018049800182
29,0.3783666666666667,2.0248938009042714,0.001,0.39,2.397907549265787
30,0.3809999999999998,2.0305393968683694,0.001,0.398,2.2325186548286378
31,0.3796666666666667,2.0103022835841706,0.001,0.378,2.391854391367455
32,0.3919666666666665,1.9838175093813348,0.001,0.438,2.050043146157896
33,0.3878333333333333,2.003648954371303,0.001,0.42,2.3356411331553746
34,0.3897999999999999,1.9965119305717662,0.001,0.392,2.2841339154750493
35,0.39019999999999994,1.9815488881981929,0.001,0.388,2.282742493597112
36,0.3988333333333333,1.9552015919328312,0.001,0.402,2.1354824811208917
37,0.3900333333333333,1.999539268827478,0.001,0.398,2.3422778400829563
38,0.40396666666666675,1.9369749140236334,0.001,0.412,2.3657974419562726
39,0.39806666666666674,1.9565664105214498,0.001,0.416,2.110241914574802
40,0.4200666666666666,1.8799723350641042,0.0005,0.43,2.2197725609910437
41,0.4250333333333334,1.8663274430948789,0.0005,0.434,2.2104777495717665
42,0.4212666666666665,1.8678522340998336,0.0005,0.434,2.166691122715541
43,0.4303000000000003,1.8541176442885399,0.0005,0.4,2.197710876339411
44,0.4198000000000001,1.8813362123184578,0.0005,0.412,2.0057374567515596
45,0.4333333333333333,1.8389562794964802,0.0005,0.402,2.2459991412290745
46,0.4255333333333335,1.8509780080032927,0.0005,0.418,2.144364679845549
47,0.4358999999999999,1.819009180285847,0.0005,0.398,2.1699179478051502
48,0.42603333333333304,1.8551905069835894,0.0005,0.42,2.161147845946334
49,0.43779999999999986,1.810630029924563,0.0005,0.446,2.0339975684655793
50,0.42999999999999977,1.831849855137517,0.0005,0.446,2.1745357999435226
51,0.42869999999999997,1.8501243844054625,0.0005,0.418,2.2261606203682534
