epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.9021666666666668,0.35305551610218755,0.001,0.918,0.3687032412310141
2,0.9621333333333338,0.1223247318283224,0.001,0.914,0.3854519031495222
3,0.9728000000000004,0.08760594134513842,0.001,0.944,0.29156680449548333
4,0.9768666666666667,0.07239782280401089,0.001,0.952,0.16569623563953906
5,0.9784666666666673,0.06718223201034162,0.001,0.958,0.1659559599811173
6,0.9795666666666668,0.0639417457189665,0.001,0.956,0.17437015842062537
7,0.9840000000000002,0.05334387707926694,0.001,0.954,0.23052560645414286
8,0.9831666666666667,0.0513397937023538,0.001,0.96,0.18308149894870762
9,0.9841,0.04657276083563672,0.001,0.944,0.18878169525409336
10,0.9850333333333334,0.04639462832768381,0.001,0.95,0.2230552763268418
11,0.986666666666667,0.040236235246119356,0.001,0.962,0.12172814143466114
12,0.9860666666666674,0.04242659755026213,0.001,0.958,0.1933587634184981
13,0.9857333333333339,0.04443426288845364,0.001,0.954,0.19876976432642784
14,0.9884333333333337,0.03522777478299574,0.001,0.97,0.10040197037095587
15,0.9876000000000004,0.03848852548354749,0.001,0.964,0.12060154677688263
16,0.9871000000000001,0.039955528531729526,0.001,0.956,0.14207073594303496
17,0.9892666666666671,0.029958715514169457,0.001,0.966,0.06018173004338657
18,0.9896333333333338,0.031810301988142074,0.001,0.952,0.2004900414917386
19,0.9878333333333339,0.03894430108369609,0.001,0.964,0.12306173842339393
20,0.987866666666667,0.03339970608692152,0.0005,0.966,0.12081534978414996
21,0.9905000000000004,0.026106772848202887,0.0005,0.978,0.1322851533441348
22,0.9919333333333341,0.024965860460784976,0.0005,0.978,0.06275020583593145
23,0.9912000000000009,0.025869321132182724,0.0005,0.978,0.14304129217196454
24,0.9908666666666671,0.026642599180789688,0.0005,0.97,0.17468324062321128
25,0.9921666666666675,0.019912855413195166,0.0005,0.966,0.12646674722381004
26,0.993266666666667,0.01914742294692533,0.0005,0.964,0.15410592348826588
27,0.9929333333333339,0.020916840096535477,0.0005,0.966,0.1353999865921408
28,0.9928333333333339,0.02015985027919376,0.0005,0.968,0.09241959516807685
29,0.9907000000000004,0.025204321727626825,0.0005,0.976,0.11617402127518969
30,0.9917000000000007,0.022330429007769773,0.0005,0.978,0.08231696535425305
31,0.9914333333333337,0.02469673957839325,0.0005,0.966,0.0909937101019895
32,0.9922333333333342,0.021124633896534253,0.0005,0.964,0.11406722398189642
33,0.9930333333333341,0.02281456460821413,0.0005,0.96,0.19822247981442434
34,0.9922333333333343,0.020919619713179502,0.0005,0.97,0.14146310421685196
35,0.9939333333333343,0.01992929417436431,0.0005,0.972,0.09539437557762301
36,0.990200000000001,0.025472858752320283,0.0005,0.968,0.08422632298156635
37,0.9910666666666671,0.02491953720313,0.0005,0.978,0.12347716102910268
38,0.9904666666666673,0.025301913639070146,0.0005,0.97,0.09913884274833791
39,0.9921666666666671,0.02213206411431799,0.0005,0.978,0.0652927852392699
40,0.9941666666666674,0.017711753409901908,0.00025,0.964,0.14802479616830977
